t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,t:line,to:line,t:wins,t:losses,to:wins,to:losses,t:matchup wins,t:matchup losses,t:period scores,to:period scores,H
1,1,WIN,TOR,-,-,2,7,-105,-105,0,0,0,0,0,0,"[0, 0, 2]","[3, 1, 3]",True
1,1,TOR,WIN,-,-,7,2,-105,-105,0,0,0,0,0,0,"[3, 1, 3]","[0, 0, 2]",False
1,1,PIT,STL,-,-,4,5,-185,170,0,0,0,0,0,0,"[1, 1, 2, 0]","[2, 1, 1, 1]",True
1,1,STL,PIT,-,-,5,4,170,-185,0,0,0,0,0,0,"[2, 1, 1, 1]","[1, 1, 2, 0]",False
1,1,EDM,CAL,-,-,3,0,-150,140,0,0,0,0,0,0,"[1, 0, 2]","[0, 0, 0]",True
1,1,CAL,EDM,-,-,0,3,140,-150,0,0,0,0,0,0,"[0, 0, 0]","[1, 0, 2]",False
1,1,SJ,PHI,-,-,3,5,-146,136,0,0,0,0,0,0,"[2, 0, 1]","[2, 1, 2]",True
1,1,PHI,SJ,-,-,5,3,136,-146,0,0,0,0,0,0,"[2, 1, 2]","[2, 0, 1]",False
1,1,BOS,NAS,-,-,4,3,-100,100,0,0,0,0,0,0,"[1, 2, 1]","[1, 0, 2]",True
1,1,NAS,BOS,-,-,3,4,100,-100,0,0,0,0,0,0,"[1, 0, 2]","[1, 2, 1]",False
1,1,BUF,MON,-,-,2,3,117,-127,0,0,0,0,0,0,"[1, 1, 0, 0, 0]","[1, 0, 1, 0, 1]",True
1,1,MON,BUF,-,-,3,2,-127,117,0,0,0,0,0,0,"[1, 0, 1, 0, 1]","[1, 1, 0, 0, 0]",False
1,1,NYR,COL,-,-,2,4,-194,179,0,0,0,0,0,0,"[2, 0, 0]","[2, 1, 1]",True
1,1,COL,NYR,-,-,4,2,179,-194,0,0,0,0,0,0,"[2, 1, 1]","[2, 0, 0]",False
1,1,OTT,WAS,-,-,4,5,125,-135,0,0,0,0,0,0,"[1, 1, 2, 0, 0]","[1, 0, 3, 0, 1]",True
1,1,WAS,OTT,-,-,5,4,-135,125,0,0,0,0,0,0,"[1, 0, 3, 0, 1]","[1, 1, 2, 0, 0]",False
1,1,DET,MIN,-,-,4,2,124,-134,0,0,0,0,0,0,"[0, 2, 2]","[0, 0, 2]",True
1,1,MIN,DET,-,-,2,4,-134,124,0,0,0,0,0,0,"[0, 0, 2]","[0, 2, 2]",False
1,2,CHI,PIT,-,0,10,1,-126,116,0,0,0,1,0,0,"[5, 3, 2]","[0, 1, 0]",True
2,1,PIT,CHI,0,-,1,10,116,-126,0,1,0,0,0,0,"[0, 1, 0]","[5, 3, 2]",False
1,1,ANA,ARI,-,-,5,4,-162,152,0,0,0,0,0,0,"[1, 2, 2]","[2, 2, 0]",True
1,1,ARI,ANA,-,-,4,5,152,-162,0,0,0,0,0,0,"[2, 2, 0]","[1, 2, 2]",False
1,2,LA,PHI,-,0,2,0,-158,148,0,0,1,0,0,0,"[0, 1, 1]","[0, 0, 0]",True
2,1,PHI,LA,0,-,0,2,148,-158,1,0,0,0,0,0,"[0, 0, 0]","[0, 1, 1]",False
1,1,CLB,NYI,-,-,5,0,-150,136,0,0,0,0,0,0,"[2, 3, 0]","[0, 0, 0]",True
1,1,NYI,CLB,-,-,0,5,136,-150,0,0,0,0,0,0,"[0, 0, 0]","[2, 3, 0]",False
1,1,TB,FLA,-,-,5,3,-170,153,0,0,0,0,0,0,"[1, 1, 3]","[0, 2, 1]",True
1,1,FLA,TB,-,-,3,5,153,-170,0,0,0,0,0,0,"[0, 2, 1]","[1, 1, 3]",False
1,1,DAL,VEG,-,-,1,2,-220,180,0,0,0,0,0,0,"[0, 1, 0]","[0, 0, 2]",True
1,1,VEG,DAL,-,-,2,1,180,-220,0,0,0,0,0,0,"[0, 0, 2]","[0, 1, 0]",False
2,2,TOR,NYR,2,1,8,5,-135,125,1,0,0,1,0,0,"[5, 0, 3]","[2, 3, 0]",True
2,2,NYR,TOR,1,2,5,8,125,-135,0,1,1,0,0,0,"[2, 3, 0]","[5, 0, 3]",False
2,2,OTT,DET,1,1,1,2,-135,125,0,1,1,0,0,0,"[0, 0, 1, 0, 0]","[0, 0, 1, 0, 1]",True
2,2,DET,OTT,1,1,2,1,125,-135,1,0,0,1,0,0,"[0, 0, 1, 0, 1]","[0, 0, 1, 0, 0]",False
2,2,FLA,TB,0,0,5,4,-105,-105,0,1,1,0,0,1,"[1, 1, 3]","[2, 1, 1]",True
2,2,TB,FLA,0,0,4,5,-105,-105,1,0,0,1,1,0,"[2, 1, 1]","[1, 1, 3]",False
1,2,NJ,COL,-,1,4,1,-128,118,0,0,1,0,0,0,"[1, 2, 1]","[0, 1, 0]",True
2,1,COL,NJ,1,-,1,4,118,-128,1,0,0,0,0,0,"[0, 1, 0]","[1, 2, 1]",False
2,2,NYI,BUF,0,1,6,3,-115,105,0,1,0,1,0,0,"[1, 3, 2]","[0, 2, 1]",True
2,2,BUF,NYI,1,0,3,6,105,-115,0,1,0,1,0,0,"[0, 2, 1]","[1, 3, 2]",False
3,2,PIT,NAS,1,1,4,0,-145,135,0,2,0,1,0,0,"[2, 1, 1]","[0, 0, 0]",True
2,3,NAS,PIT,1,1,0,4,135,-145,0,1,0,2,0,0,"[0, 0, 0]","[2, 1, 1]",False
