season,t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,shoot out,t:line,to:line,t:wins,to:wins,t:losses,to:losses,t:matchup wins,t:matchup losses,H,t.period.scores0,t.period.scores1,t.period.scores2,t.period.scores3,t.period.scores4,to.period.scores0,to.period.scores1,to.period.scores2,to.period.scores3,to.period.scores4
2006.0,1.0,1.0,CAR,BUF,-,-,2,3,1,-118,108,0.0,0.0,0.0,0.0,0.0,0.0,True,1,1,0,0,-,1,1,0,1,-
2006.0,1.0,1.0,BUF,CAR,-,-,3,2,1,108,-118,0.0,0.0,0.0,0.0,0.0,0.0,False,1,1,0,1,-,1,1,0,0,-
2006.0,1.0,1.0,TOR,OTT,-,-,1,4,-,152,-162,0.0,0.0,0.0,0.0,0.0,0.0,True,0,1,0,-,-,1,2,1,-,-
2006.0,1.0,1.0,OTT,TOR,-,-,4,1,-,-162,152,0.0,0.0,0.0,0.0,0.0,0.0,False,1,2,1,-,-,0,1,0,-,-
2006.0,1.0,1.0,COL,DAL,-,-,2,3,-,-112,102,0.0,0.0,0.0,0.0,0.0,0.0,True,2,0,0,0,-,0,0,2,1,-
2006.0,1.0,1.0,DAL,COL,-,-,3,2,-,102,-112,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,2,1,-,2,0,0,0,-
2006.0,2.0,2.0,OTT,TOR,0,0,0,6,-,-249,229,1.0,0.0,0.0,1.0,1.0,0.0,True,0,0,0,-,-,2,3,1,-,-
2006.0,2.0,2.0,TOR,OTT,0,0,6,0,-,229,-249,0.0,1.0,1.0,0.0,0.0,1.0,False,2,3,1,-,-,0,0,0,-,-
2006.0,1.0,1.0,PHO,NYI,-,-,6,3,-,-150,140,0.0,0.0,0.0,0.0,0.0,0.0,True,2,4,0,-,-,1,0,2,-,-
2006.0,1.0,1.0,NYI,PHO,-,-,3,6,-,140,-150,0.0,0.0,0.0,0.0,0.0,0.0,False,1,0,2,-,-,2,4,0,-,-
2006.0,1.0,1.0,NAS,CHI,-,-,6,8,-,-247,227,0.0,0.0,0.0,0.0,0.0,0.0,True,2,2,2,-,-,3,1,4,-,-
2006.0,1.0,1.0,CHI,NAS,-,-,8,6,-,227,-247,0.0,0.0,0.0,0.0,0.0,0.0,False,3,1,4,-,-,2,2,2,-,-
2006.0,1.0,1.0,NYR,WAS,-,-,5,2,-,-213,193,0.0,0.0,0.0,0.0,0.0,0.0,True,1,2,2,-,-,0,1,1,-,-
2006.0,1.0,1.0,WAS,NYR,-,-,2,5,-,193,-213,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1,1,-,-,1,2,2,-,-
2006.0,1.0,1.0,ATL,TB,-,-,2,3,1,-138,128,0.0,0.0,0.0,0.0,0.0,0.0,True,2,0,0,0,-,0,1,1,1,-
2006.0,1.0,1.0,TB,ATL,-,-,3,2,1,128,-138,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1,1,1,-,2,0,0,0,-
2006.0,1.0,1.0,PIT,PHI,-,-,4,0,-,142,-152,0.0,0.0,0.0,0.0,0.0,0.0,True,2,2,0,-,-,0,0,0,-,-
2006.0,1.0,1.0,PHI,PIT,-,-,0,4,-,-152,142,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,-,-,2,2,0,-,-
2006.0,1.0,1.0,DET,VAN,-,-,1,3,-,-178,168,0.0,0.0,0.0,0.0,0.0,0.0,True,0,1,0,-,-,1,2,0,-,-
2006.0,1.0,1.0,VAN,DET,-,-,3,1,-,168,-178,0.0,0.0,0.0,0.0,0.0,0.0,False,1,2,0,-,-,0,1,0,-,-
2006.0,1.0,1.0,SJ,STL,-,-,5,4,-,-245,225,0.0,0.0,0.0,0.0,0.0,0.0,True,1,2,1,1,-,2,1,1,0,-
2006.0,1.0,1.0,STL,SJ,-,-,4,5,-,225,-245,0.0,0.0,0.0,0.0,0.0,0.0,False,2,1,1,0,-,1,2,1,1,-
2006.0,1.0,2.0,MIN,COL,-,0,3,2,-,-161,151,0.0,0.0,0.0,1.0,0.0,0.0,True,1,1,0,1,-,0,1,1,0,-
2006.0,2.0,1.0,COL,MIN,0,-,2,3,-,151,-161,0.0,0.0,1.0,0.0,0.0,0.0,False,0,1,1,0,-,1,1,0,1,-
2006.0,1.0,1.0,EDM,CAL,-,-,3,1,-,-112,102,0.0,0.0,0.0,0.0,0.0,0.0,True,2,0,1,-,-,0,0,1,-,-
2006.0,1.0,1.0,CAL,EDM,-,-,1,3,-,102,-112,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,1,-,-,2,0,1,-,-
2006.0,2.0,1.0,CAR,NJ,1,-,0,4,-,-127,117,0.0,0.0,1.0,0.0,0.0,0.0,True,0,0,0,-,-,3,1,0,-,-
2006.0,1.0,2.0,NJ,CAR,-,1,4,0,-,117,-127,0.0,0.0,0.0,1.0,0.0,0.0,False,3,1,0,-,-,0,0,0,-,-
2006.0,1.0,2.0,CLB,VAN,-,0,2,3,-,-115,105,0.0,1.0,0.0,0.0,0.0,0.0,True,1,1,0,0,-,0,0,2,1,-
2006.0,2.0,1.0,VAN,CLB,0,-,3,2,-,105,-115,1.0,0.0,0.0,0.0,0.0,0.0,False,0,0,2,1,-,1,1,0,0,-
2006.0,1.0,1.0,ANA,LA,-,-,4,3,-,-194,181,0.0,0.0,0.0,0.0,0.0,0.0,True,0,2,2,-,-,0,2,1,-,-
2006.0,1.0,1.0,LA,ANA,-,-,3,4,-,181,-194,0.0,0.0,0.0,0.0,0.0,0.0,False,0,2,1,-,-,0,2,2,-,-
2006.0,1.0,1.0,FLA,BOS,-,-,8,3,-,-107,-103,0.0,0.0,0.0,0.0,0.0,0.0,True,3,1,4,-,-,1,1,1,-,-
